sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch,final_grad_norm,final_beta_std,final_train_loss,final_val_loss,train_val_gap,correction_ratio,correction_mean,correction_std,min_hessian_eig,hessian_condition
10,linear,naive,-0.3305187523365021,0.028149699132505656,-0.16608385390592426,-0.16443489843057782,False,0.8376034080814053,0.6468777295297146,0.8817443648947292,0.7511910843714155,0.0,6.0,3.9764780860203013,0.5323580503463745,1.9859995820787217,1.977220058441162,-0.008779523637559628,,,,,
10,linear,influence,0.043348787931725384,0.6305206871790536,-0.16608385390592426,0.20943264183764965,True,0.9380921247251757,0.6199995244958554,0.8481697434654127,0.714946100886013,0.05,4.9,3.1764671381179137,0.7555409222841263,1.8937086174292872,1.7777563393115998,-0.11595227811768738,0.32432795686713756,-0.20449548623524605,19.912341336587495,0.06224405467510223,16.508016709392262
11,linear,naive,-0.07248751074075699,0.01865588235255104,-0.16799821041175939,0.0955106996710024,False,0.8289134584690601,0.6255054231909419,0.884182082930923,0.663012052224559,0.0,9.0,3.0269571476674986,0.6895871162414551,1.7249698617723253,1.8732197284698486,0.14824986669752338,,,,,
11,linear,influence,-0.009760498199611903,0.5012980350945153,-0.16799821041175939,0.1582377122121475,True,0.8898956286779097,0.6387488538046149,0.86174459270262,0.6486435341714546,0.05,7.05,3.1442578477922005,0.6411400437355042,1.689767042844616,1.71984743475914,0.03008039191452383,0.4023040893858084,-0.201674249519594,15.835557304728658,0.06505509559065104,16.002661880439437
12,linear,naive,-0.26068753004074097,0.023126906914982988,-0.1684193023581113,-0.09226822768262966,False,0.8312961920305195,0.5853408340678624,0.8871328471956392,0.7253249861259627,0.0,7.0,4.09095368205499,0.6445770263671875,1.7802666642930773,1.9180212020874023,0.137754537794325,,,,,
12,linear,influence,-0.9146155796945095,0.4400632518290165,-0.1684193023581113,-0.7461962773363982,True,0.9567329921892858,0.6534091736167872,0.8390160757717787,0.6616289133098991,0.0,7.05,3.1525087907268228,0.7367404937744141,1.7719284197984382,1.8109298825263977,0.03900146272795957,1.5482537906463454,0.681329597768432,13.91187736319972,0.07531609199941158,13.66755753700065
13,linear,naive,-0.12327605485916138,0.028318598058628065,-0.16973064012954736,0.046454585270385984,True,0.8308675695260318,0.7063908221552215,0.8846249594970703,0.667567895424743,0.0,4.0,3.478240844727258,0.6698592305183411,2.0648203637864855,2.048813819885254,-0.016006543901231574,,,,,
13,linear,influence,0.05512856684625149,0.6633311334911148,-0.16973064012954736,0.22485920697579886,True,0.9517369556455961,0.7163186888818359,0.8409325702737449,0.6848755835557686,0.1,6.45,3.2394005470703804,0.9322165250778198,1.9807460681318543,1.9327088475227356,-0.048037220609118636,0.1488237506028673,-0.09871942717779894,20.958843243337874,0.06688807383179665,15.613690532286933
14,linear,naive,0.06627227365970612,0.026330910571570686,-0.16421968122181307,0.2304919548815192,False,0.7989241311944587,0.6900656606684352,0.88931281072236,0.7157353055150499,0.0,12.0,4.0834494513750235,0.9753026962280273,1.7762665557861328,1.46571946144104,-0.31054709434509276,,,,,
14,linear,influence,0.7375903146937489,0.5737923007499214,-0.16421968122181307,0.901809995915562,True,0.920926891663067,0.6843888892410993,0.8524521041689003,0.6565323357575821,0.05,7.4,3.0772067331877024,0.7495693504810333,1.7511787146085882,1.8417343258857728,0.09055561127718459,1.4625095840183016,-0.8391767390826717,18.143550365322213,0.06533904224634171,15.646681762805954
15,linear,naive,-0.314828485250473,0.026659855215887672,-0.16731081091548525,-0.14751767433498778,False,0.8352884353990729,0.6443178112508662,0.8904529652595671,0.7429052715499713,0.0,11.0,3.7594136680394956,0.8143041133880615,1.622023548550076,1.8380390405654907,0.2160154920154147,,,,,
15,linear,influence,-0.38929334277659655,0.564216995393345,-0.16731081091548525,-0.2219825318611113,True,0.9330277511370509,0.6680142538833469,0.8512587705557633,0.7137490889790522,0.0,8.05,3.1682749685234963,0.9006065994501113,1.692369108959945,1.9643844008445739,0.2720152918846288,0.41029035384649404,0.23149279068614123,17.84943957310422,0.06530054844915867,15.752438724296889
