sim_id,model,method,mu_hat,se,mu_true,bias,covered,rmse_alpha,rmse_beta,corr_alpha,corr_beta,overfit_rate,mean_best_epoch
8,linear,naive,-0.07950261235237122,0.02512706277982248,-0.17065474548814077,0.09115213313576956,False,0.8310065790046659,0.6003166826161532,0.8817707515172093,0.7283219701100715,0.0,4.0
8,linear,influence,-0.0773949788659811,0.42118698016314815,-0.17065474548814077,0.09325976662215968,True,0.8737514732423663,0.6279765965391233,0.8659990019570752,0.6765555107313168,0.02,9.5
9,linear,naive,-0.1899259090423584,0.022861289943640072,-0.16514901054142095,-0.02477689850093745,True,0.8384497320184443,0.6362532900142597,0.8955982854127125,0.6898095901679357,0.0,8.0
9,linear,influence,-0.31828656772151587,0.47923630508647225,-0.16514901054142095,-0.15313755718009492,True,0.8836237927156084,0.6931101609424282,0.8641190688542666,0.6690505774540249,0.0,10.28
10,linear,naive,-0.15136365592479706,0.022117727914971262,-0.16608385390592426,0.014720197981127198,True,0.8822439426046133,0.5979277962462964,0.8656961315236863,0.7342407187361901,0.0,6.0
10,linear,influence,0.12899522103741765,0.49769672929168896,-0.16608385390592426,0.2950790749433419,True,0.9097279423568723,0.6495853628107074,0.8576134467939733,0.7052449387443376,0.0,9.0
11,linear,naive,-0.18677973747253418,0.02475216514225864,-0.16799821041175939,-0.018781527060774794,True,0.8243761885531266,0.6665207732341504,0.8861182209426611,0.6603321754609008,0.0,8.0
11,linear,influence,-0.49741183545812967,0.46055964480590494,-0.16799821041175939,-0.3294136250463703,True,0.8713449159617979,0.6911949665931892,0.8668920791612115,0.5954144271789699,0.0,11.6
12,linear,naive,-0.21435503661632538,0.022701444021068308,-0.1684193023581113,-0.04593573425821407,False,0.8310206820687802,0.6521872935974374,0.8843652620400813,0.6474565804952895,0.0,13.0
12,linear,influence,0.14698605078458787,0.44311101530686153,-0.1684193023581113,0.3154053531426992,True,0.9074028685014874,0.6574384609035043,0.8577141351527542,0.6621791742055607,0.04,9.82
13,linear,naive,-0.1553450971841812,0.03141616530932336,-0.16973064012954736,0.014385542945366148,True,0.9076523608683136,0.7402196491104089,0.8717207597902746,0.6853065774321644,0.0,4.0
13,linear,influence,-0.29298156424611804,0.5865709041697571,-0.16973064012954736,-0.12325092411657068,True,0.9047770174976897,0.7305076136040946,0.856234425740484,0.6806036161841563,0.0,10.08
14,linear,naive,-0.11775971949100494,0.026253224001855244,-0.16421968122181307,0.04645996173080813,True,0.7592890353587781,0.6569274075784957,0.9013757658295661,0.6951677165733815,0.0,15.0
14,linear,influence,-0.550867232883349,0.5093173425125302,-0.16421968122181307,-0.38664755166153597,True,0.8617629266279937,0.6893918642114268,0.8712502799371935,0.6650899260136656,0.0,11.06
15,linear,naive,-0.16153259575366974,0.02897865682614748,-0.16731081091548525,0.005778215161815509,True,0.8274454452729215,0.6468451609469114,0.8875000698917843,0.7351002595211968,0.0,8.0
15,linear,influence,-0.09482997486367822,0.4842865016420452,-0.16731081091548525,0.07248083605180702,True,0.9082724463405986,0.6909151930198244,0.8612936002582398,0.7056834548837194,0.0,10.4
16,linear,naive,-0.11079958081245422,0.030637309195398296,-0.16778098176091477,0.05698140094846055,True,0.8152955106913797,0.718927958582573,0.8810660554727915,0.6981369468195054,0.0,32.0
16,linear,influence,0.5196500754281879,0.585794361285729,-0.16778098176091477,0.6874310571891027,True,0.9076339842531318,0.7436756229688152,0.8483580071191035,0.7015127116155809,0.0,12.72
17,linear,naive,-0.24843484163284302,0.03310058565932388,-0.16570667471611328,-0.08272816691672974,False,0.8636570847278693,0.7428683315328938,0.8681562147101738,0.7249428075167713,0.0,16.0
17,linear,influence,0.6274453678764403,0.5369095916638328,-0.16570667471611328,0.7931520425925536,True,0.9044377137016706,0.7114338019890897,0.8543265597875582,0.6912277900081881,0.0,10.76
18,linear,naive,-0.34388187527656555,0.03358699752738255,-0.16645263429730817,-0.17742924097925739,False,0.8106531552990471,0.7322595413664016,0.888465716765388,0.741556652974477,0.0,15.0
18,linear,influence,-0.6959408072009683,0.5009931218287133,-0.16645263429730817,-0.5294881729036601,True,0.9160935125957129,0.7429479978128447,0.8520850151175094,0.7167559455805711,0.02,10.64
19,linear,naive,-0.2593945264816284,0.02644162938930299,-0.16680330304223964,-0.09259122343938878,False,0.8471483073645322,0.6494723224956186,0.8892449370318212,0.699609847734275,0.0,7.0
19,linear,influence,-0.09127119540795683,0.4728937084672316,-0.16680330304223964,0.07553210763428281,True,0.9051568950932034,0.6570298779371428,0.8652378178761171,0.6837553273735757,0.0,8.8
20,linear,naive,-0.18016557395458221,0.028274083216892582,-0.1674006122102666,-0.0127649617443156,True,0.7969105715156037,0.657896439036302,0.9044539602551168,0.7183831115312744,0.0,9.0
20,linear,influence,-0.028070761110633613,0.4660882676042974,-0.1674006122102666,0.139329851099633,True,0.8888140710952802,0.709743172816898,0.8695347454713591,0.680664774213554,0.0,11.68
21,linear,naive,-0.19823986291885376,0.028646698283709013,-0.168861647160364,-0.029378215758489756,True,0.7780020033519083,0.6776497320908688,0.9034767323602979,0.7066699846797356,0.0,27.0
21,linear,influence,-0.10711722049862146,0.44579097277066115,-0.168861647160364,0.06174442666174254,True,0.872350595625154,0.6514421646468741,0.8774281025717262,0.7144804605143015,0.0,9.92
22,linear,naive,-0.12213296443223953,0.029231434101428148,-0.16961110800065388,0.047478143568414344,True,0.8403160633778252,0.6452810289082849,0.8907891166535843,0.7404143564262233,0.0,9.0
22,linear,influence,-0.529673097545281,0.437750611596897,-0.16961110800065388,-0.36006198954462715,True,0.8985051102069875,0.6363726523563077,0.8605067732098951,0.7030097688440624,0.0,10.44
23,linear,naive,-0.2044939547777176,0.026989725328608438,-0.16394672424749315,-0.04054723053022444,True,0.826224899361421,0.6549291288822027,0.8865890386463605,0.7064463550944036,0.0,15.0
23,linear,influence,-0.6168615426272154,0.5202333803154243,-0.16394672424749315,-0.45291481837972225,True,0.8636275494415937,0.6583531514867816,0.8740092899470951,0.7091894200981813,0.02,9.54
24,linear,naive,-0.2621820271015167,0.023208932442469316,-0.16696023247058478,-0.09522179463093194,False,0.8242568257863974,0.5674366344091385,0.8856493672550726,0.7509902376874777,0.0,10.0
24,linear,influence,-0.014313200550153851,0.45662273766775785,-0.16696023247058478,0.15264703192043094,True,0.8874625872903973,0.6061667215135891,0.8626088192306818,0.7136615608055106,0.02,9.08
25,linear,naive,-0.07439213246107101,0.028848290182262377,-0.17071024273384633,0.09631811027277531,False,0.8542700478742873,0.7164762850476,0.8757796800880753,0.6743380980702491,0.0,24.0
25,linear,influence,-0.6676832152679563,0.506616543535989,-0.17071024273384633,-0.49697297253410994,True,0.9018627040864049,0.6688248407143829,0.8620413052451266,0.6506125256639004,0.0,10.96
26,linear,naive,-0.3148545026779175,0.02712087796093423,-0.16256099976513946,-0.15229350291277802,False,0.8025495769854611,0.6295548999418538,0.9084750396652465,0.7357057822005408,0.0,11.0
26,linear,influence,-0.2633331410065293,0.5311212123937143,-0.16256099976513946,-0.10077214124138986,True,0.8814178454823645,0.6949231672419396,0.8740431869470637,0.7129377531410364,0.0,9.24
27,linear,naive,-0.4492779076099396,0.03356685963649454,-0.16460044680365687,-0.2846774608062827,False,0.8930461464761754,0.7735432164112052,0.8775655171255708,0.7414076438392929,0.0,5.0
27,linear,influence,-0.06174820320308209,0.4517549819514195,-0.16460044680365687,0.1028522436005748,True,0.9359764138206104,0.7194512523480878,0.8539023530514929,0.6879606323147871,0.0,9.66
28,linear,naive,-0.4679170548915863,0.02727190837286549,-0.1685686736732629,-0.2993483812183234,False,0.8272605684150547,0.6961720580847337,0.8648502001062798,0.726950427367173,0.0,8.0
28,linear,influence,-0.42043593448773026,0.4680816395009617,-0.1685686736732629,-0.25186726081446736,True,0.8791300813982994,0.6910905016284428,0.8496650104131173,0.7080294951342628,0.02,9.14
29,linear,naive,-0.09992562234401703,0.023729156892392436,-0.1645353796496535,0.06460975730563648,False,0.781799171090203,0.6410896157540349,0.9004168096359833,0.6992142544041136,0.0,16.0
29,linear,influence,0.32543963636085393,0.5956637055037842,-0.1645353796496535,0.4899750160105074,True,0.8797626252155859,0.6829410763157827,0.8634470579792929,0.7096315376171286,0.02,12.5
